Year,ElecRev,SteamRev,TotalRev,FuelCost,OMCost,CapitalPayment,TotalCost,Net
1,36387255.5,297633.17064798286,36684888.670647986,10216493.255000543,2528400.0,4170177.170090506,16915070.42509105,19769818.245556936
2,43664706.6,357159.80477757944,44021866.40477758,12259791.906000651,3034080.0,4170177.170090506,19464049.076091155,24557817.328686424
3,52397647.919999994,428591.7657330953,52826239.68573309,14711750.28720078,3640896.0,4170177.170090506,22522823.457291283,30303416.228441805
4,62877177.50399999,514310.1188797143,63391487.62287971,17654100.344640937,4369075.199999999,4170177.170090506,26193352.71473144,37198134.90814827
5,75452613.00479999,617172.1426556573,76069785.14745565,21184920.413569126,5242890.239999999,4170177.170090506,30597987.82365963,45471797.32379602
6,90543135.60575998,740606.5711867885,91283742.17694677,25421904.496282946,6291468.287999999,4170177.170090506,35883549.95437345,55400192.222573325
7,108651762.72691198,888727.8854241462,109540490.61233613,30506285.395539533,7549761.945599998,4170177.170090506,42226224.51123004,67314266.10110609
8,130382115.27229437,1066473.4625089755,131448588.73480335,36607542.47464744,9059714.334719999,4170177.170090506,49837433.979457945,81611154.7553454
9,156458538.32675323,1279768.1550107703,157738306.481764,43929050.969576925,10871657.201663997,4170177.170090506,58970885.34133143,98767421.14043257
10,187750245.99210387,1535721.7860129245,189285967.7781168,52714861.163492315,13045988.641996797,4170177.170090506,69931026.97557962,119354940.80253717
11,225300295.19052464,1842866.1432155094,227143161.33374014,63257833.39619076,15655186.370396154,4170177.170090506,83083196.93667743,144059964.39706272
12,270360354.2286295,2211439.3718586112,272571793.6004881,75909400.07542892,18786223.644475386,4170177.170090506,98865800.88999481,173705992.71049333
13,324432425.0743555,2653727.246230333,327086152.3205858,91091280.0905147,22543468.37337046,4170177.170090506,117804925.63397567,209281226.6866101
14,389318910.08922654,3184472.6954763997,392503382.78470296,109309536.10861763,27052162.04804455,4170177.170090506,140531875.3267527,251971507.45795026
15,467182692.1070718,3821367.2345716795,471004059.3416435,131171443.33034115,32462594.45765346,4170177.170090506,167804214.9580851,303199844.3835584
16,560619230.5284861,4585640.681486015,565204871.2099721,157405731.9964094,38955113.34918415,4170177.170090506,200531022.51568404,364673848.69428813
17,672743076.6341834,5502768.817783219,678245845.4519666,188886878.39569125,46746136.01902098,4170177.170090506,239803191.58480272,438442653.8671639
18,807291691.96102,6603322.581339861,813895014.5423598,226664254.0748295,56095363.22282517,4170177.170090506,286929794.4677451,526965220.0746147
19,968750030.353224,7923987.097607834,976674017.4508319,271997104.88979536,67314435.8673902,4170177.170090506,343481717.9272761,633192299.5235558
20,1162500036.4238687,9508784.5171294,1172008820.940998,326396525.86775446,80777323.04086825,4170177.170090506,411344026.07871324,760664794.8622849
