"HourEnding","Type","ID","LMP","Energy","Loss","Congestion","StrikePrice"
10/09/2025 01:00,DA,4003,28.05,27.15,0.9,0,undefined
10/09/2025 02:00,DA,4003,25.84,25.04,0.8,0,undefined
10/09/2025 03:00,DA,4003,24.7,23.89,0.81,0,undefined
10/09/2025 04:00,DA,4003,24.22,23.51,0.71,0,undefined
10/09/2025 05:00,DA,4003,25.73,24.88,0.85,0,undefined
10/09/2025 06:00,DA,4003,28.39,27.42,0.96,0.01,undefined
10/09/2025 07:00,DA,4003,98.15,38.22,1.54,58.39,undefined
10/09/2025 08:00,DA,4003,110.05,43.04,1.62,65.39,undefined
10/09/2025 09:00,DA,4003,31.5,30.26,1.15,0.09,undefined
10/09/2025 10:00,DA,4003,27.26,26.34,0.85,0.07,undefined
10/09/2025 11:00,DA,4003,27.92,27.2,0.62,0.1,undefined
10/09/2025 12:00,DA,4003,26.9,26.24,0.56,0.1,undefined
10/09/2025 13:00,DA,4003,25.22,24.71,0.43,0.08,undefined
10/09/2025 14:00,DA,4003,26.6,26.07,0.44,0.09,undefined
10/09/2025 15:00,DA,4003,26.27,25.72,0.46,0.09,undefined
10/09/2025 16:00,DA,4003,25.49,25.1,0.36,0.03,undefined
10/09/2025 17:00,DA,4003,33.14,32.5,0.64,0,undefined
10/09/2025 18:00,DA,4003,42.02,41.19,0.83,0,undefined
10/09/2025 19:00,DA,4003,55.66,54.14,1.52,0,undefined
10/09/2025 20:00,DA,4003,46.05,44.8,1.25,0,undefined
10/09/2025 21:00,DA,4003,35.84,34.83,1.01,0,undefined
10/09/2025 22:00,DA,4003,36,34.84,1.16,0,undefined
10/09/2025 23:00,DA,4003,32.29,31.32,0.97,0,undefined
10/10/2025 00:00,DA,4003,30.32,29.22,1.08,0.02,undefined
10/09/2025 01:00,RT,4003,25.61,25.12,0.49,0,undefined
10/09/2025 02:00,RT,4003,25.13,24.77,0.36,0,undefined
10/09/2025 03:00,RT,4003,23.58,23.15,0.27,0.16,undefined
10/09/2025 04:00,RT,4003,23.11,22.79,0.22,0.1,undefined
10/09/2025 05:00,RT,4003,23.15,22.97,0.18,0,undefined
10/09/2025 06:00,RT,4003,23.86,23.6,0.26,0,undefined
10/09/2025 07:00,RT,4003,36.75,35.72,0.93,0.1,undefined
10/09/2025 08:00,RT,4003,44.1,42.67,1.29,0.14,undefined
10/09/2025 09:00,RT,4003,26.77,26.04,0.73,0,undefined
10/09/2025 10:00,RT,4003,23.45,22.76,0.67,0.02,undefined
10/09/2025 11:00,RT,4003,25.88,25.18,0.66,0.04,undefined
10/09/2025 12:00,RT,4003,23.43,22.74,0.58,0.11,undefined
10/09/2025 13:00,RT,4003,24.22,23.59,0.6,0.03,undefined
10/09/2025 14:00,RT,4003,20.99,20.36,0.51,0.12,undefined
10/09/2025 15:00,RT,4003,24.1,23.46,0.54,0.1,undefined
10/09/2025 16:00,RT,4003,22.52,21.85,0.43,0.24,undefined
10/09/2025 17:00,RT,4003,26.48,25.47,0.61,0.4,undefined
10/09/2025 18:00,RT,4003,36.32,35.35,0.83,0.14,undefined
10/09/2025 19:00,RT,4003,47.43,46.03,1.21,0.19,undefined
10/09/2025 20:00,RT,4003,49.95,48.46,1.41,0.08,undefined
10/09/2025 21:00,RT,4003,43.53,42.37,1.12,0.04,undefined
10/09/2025 22:00,RT,4003,38.11,36.89,1.17,0.05,undefined
10/09/2025 23:00,RT,4003,35.98,34.84,1.12,0.02,undefined
10/10/2025 00:00,RT,4003,30.84,29.93,0.9,0.01,undefined
